      1	  10.85	  -5.61	 -1.625	1.02115							#	  14.74	   1.15	
      2	   2.23	  -7.34	 -0.194	1.00012							#	  19.27	   4.02	
      3	 -10.80	   3.69	 -0.084	0.99716							#	   3.14	  15.66	
      4	   5.30	  -6.05	 -0.352	1.00024							#	   3.80	  17.82	
      5	  -7.44	 -12.59	 -0.217	0.99908							#	   9.66	  14.66	
      6	  -5.34	   5.74	  0.156	0.99826							#	   6.66	   8.48	
      7	  -3.75	  -2.60	 -0.064	0.98435							#	   4.80	   3.59	
      8	  -1.87	  -4.16	  0.500	0.97022							#	   4.37	   2.44	
      9	  -2.78	  -2.54	 -0.293	0.99993							#	   3.39	   3.88	
     10	   0.29	   0.21	 -0.992	1.01659							#	   2.49	   5.89	
     11	  -3.36	  -4.23	 -0.145	0.99693							#	   3.77	  15.52	
     12	  -3.87	  -3.63	 -0.055	1.00146							#	   4.51	  16.95	
     13	  -5.47	  -3.01	  0.038	0.99841							#	   3.02	   9.91	
     14	   1.03	   0.43	  0.099	1.00210							#	   3.13	   7.90	
     15	  -4.81	 -10.13	 -0.356	0.98938							#	   6.31	   8.76	
     16	  -3.30	  16.70	 -0.152	0.99374							#	   7.40	   8.19	
     17	   1.31	   0.04	 -0.135	0.99429							#	   3.16	  10.92	
     18	  -5.46	  -1.63	  0.019	0.98745							#	   4.77	  10.63	
     19	  -0.36	  20.82	  0.058	1.00305							#	   9.94	  13.07	
     20	  -1.54	   8.86	  0.011	1.00464							#	   5.07	   8.33	
     21	   2.79	  -2.02	  0.123	1.00360							#	   5.66	   8.62	
     22	  -2.37	   3.00	 -0.039	1.00317							#	   4.53	   8.19	
     23	   4.23	   1.28	  0.298	0.99529							#	   4.25	   5.75	
     24	  -2.97	   6.18	 -0.398	0.97518							#	   3.65	   5.89	
     25	   6.36	   0.65	 -0.565	0.99058							#	   5.07	   8.19	
     26	  -4.02	   9.08	 -0.897	0.98592							#	   6.75	   4.45	
     27	   1.24	   9.89	 -1.054	0.98813							#	   4.86	   3.16	
     28	   2.26	  -1.29	 -0.373	0.99034							#	   5.27	   7.18	
     29	  -4.70	 -10.13	 -0.317	0.99996							#	   7.82	   7.61	
     30	  -0.71	   5.26	 -0.046	1.00406							#	   5.62	   5.60	
     31	  -0.68	   1.81	 -0.183	0.99829							#	   5.73	   9.34	
     32	   1.43	   6.31	  0.024	1.00556							#	   5.35	   6.03	
     33	  -3.01	  10.54	  0.449	1.01783							#	  16.55	   4.60	
     34	  -8.45	 104.92	  0.464	0.98953							#	  11.35	   1.72	
     35	  11.09	-138.14	  0.670	0.95501							#	   2.09	   1.01	
     36	  -9.49	  26.02	  0.283	1.01015							#	   1.45	   1.15	
     37	  -1.32	  -3.61	  0.993	0.97680							#	   1.92	   4.74	
     38	  -2.06	  -1.75	 -0.011	1.00701							#	   1.58	   7.61	
     39	  -0.78	  -0.03	  0.051	1.00128							#	   1.50	   7.47	
     40	   1.25	   3.33	  0.031	1.00016							#	   3.55	  10.20	
     41	  -2.33	 -10.60	  0.807	0.99423							#	   7.40	   4.31	
