      1	  -0.11	  14.21	  0.037	0.99998							#	   1.86	  91.15	
      2	   0.28	  -0.51	  0.039	0.99984							#	   0.09	  94.15	
      3	  -1.20	  13.53	 -0.044	0.99913							#	   2.80	  41.98	
      4	  -8.88	  -1.50	 -0.240	1.00047							#	   0.29	  21.59	
      5	  -2.26	  14.78	 -0.124	0.99886							#	   2.72	  21.14	
      6	   1.69	  -5.07	  0.013	0.99834							#	   0.47	  24.89	
      7	   4.28	  -0.58	  0.031	0.99803							#	   0.30	  22.64	
      8	   1.04	  -8.35	  0.047	0.99562							#	   1.06	  26.09	
      9	   1.06	  -7.13	 -0.172	0.99940							#	   0.71	  28.49	
     10	   4.05	  -8.09	 -0.054	1.00037							#	   0.81	  29.99	
     11	   1.94	  -3.88	  0.026	0.99736							#	   0.58	  26.99	
     12	   4.18	 -11.04	 -0.050	0.99944							#	   2.17	  15.59	
     13	   1.94	  -4.68	 -0.211	1.00118							#	   0.48	  26.54	
     14	   8.88	   5.75	 -0.127	1.00189							#	   0.64	  31.33	
     15	   7.62	   7.03	 -0.018	0.99889							#	   0.85	  36.13	
     16	   5.15	  -0.12	  0.062	0.99846							#	   0.18	  83.06	
     17	   2.45	   9.09	  0.186	0.99913							#	   1.32	  69.42	
     18	   5.15	   5.13	  0.230	0.99823							#	   0.69	  61.92	
     19	   5.01	   6.40	  0.044	0.99820							#	   1.12	  63.12	
     20	  11.09	  -0.65	  0.165	0.99819							#	   0.45	  55.62	
     21	  15.57	   2.73	  0.372	0.99906							#	   0.64	  43.48	
     22	   5.02	  -0.32	  0.121	0.99959							#	   0.17	  69.72	
     23	  11.84	  -2.39	  0.161	0.99683							#	   0.69	  47.53	
     24	  20.28	 -18.99	 -0.308	1.00088							#	   3.16	  40.63	
     25	  13.59	   0.07	  0.071	0.99952							#	   0.18	  60.57	
     26	  10.54	   1.02	  0.284	0.99923							#	   0.26	  44.38	
     27	  10.04	  -0.21	  0.060	0.99874							#	   0.20	  44.98	
     28	  13.18	  -1.44	  0.032	0.99673							#	   0.29	  43.63	
     29	  26.56	  -0.96	  0.076	1.00015							#	   0.20	  35.23	
     30	  23.63	  10.19	 -0.039	0.99506							#	   4.02	  31.93	
     31	  22.23	  -2.62	  0.013	1.00123							#	   0.24	  29.69	
     32	  23.45	   3.67	  0.022	0.99999							#	   0.47	  29.69	
     33	  24.99	  -0.28	 -0.024	1.00178							#	   0.10	  37.33	
     34	  24.99	  -2.32	 -0.036	0.99587							#	   0.25	  33.28	
     35	  24.07	 -11.05	 -0.321	1.00041							#	   1.51	  25.19	
     36	  27.00	  -7.59	 -0.127	1.00311							#	   0.84	  22.34	
     37	  31.98	  -5.00	  0.055	0.99696							#	   0.74	  21.29	
     38	  10.52	  -0.12	  0.277	0.99707							#	   0.17	  30.73	
     39	  11.70	   0.10	 -0.083	1.00012							#	   0.21	  44.83	
     40	  31.16	  26.91	 -0.286	1.00559							#	   2.26	  13.49	
     41	  32.23	 -20.05	  1.607	0.99081							#	   0.97	   6.90	
     42	  29.28	   7.12	 -0.578	0.99812							#	   1.34	   8.40	
     43	  33.17	   9.92	  0.065	0.99839							#	   1.41	  15.14	
     44	  35.73	  -5.49	 -0.179	1.00104							#	   0.78	  12.89	
     45	  42.71	  10.67	 -0.278	1.00269							#	   1.91	   9.60	
     46	  37.82	  -8.29	 -0.227	1.00243							#	   0.95	  12.14	
     47	  39.81	  -4.34	 -0.041	0.99583							#	   0.71	   9.30	
     48	  40.76	 -11.55	 -0.185	0.99091							#	   2.26	   9.75	
     49	  10.11	  -1.44	 -0.077	0.99544							#	   0.16	  16.04	
     50	  38.07	  -1.74	 -0.039	0.99245							#	   0.27	  23.39	
     51	  44.11	  -0.13	 -0.295	1.00079							#	   0.35	  13.94	
     52	  39.24	   5.70	  0.182	1.00243							#	   0.70	  10.04	
     53	  43.87	   9.26	  0.059	1.00670							#	   1.45	   4.65	
     54	  31.02	  -5.82	  0.455	0.96235							#	   0.32	   3.75	
     55	  47.79	   2.18	  0.062	0.99582							#	   0.48	   6.30	
     56	  47.68	   7.79	  0.017	1.00298							#	   1.53	   8.55	
     57	  49.77	   0.82	 -0.269	1.00534							#	   0.41	   7.65	
     58	  34.57	  -2.00	  0.308	1.00428							#	   0.40	   6.15	
     59	  28.37	  -3.37	  0.191	1.00259							#	   0.47	   4.65	
     60	  39.47	  -5.77	 -0.455	1.00280							#	   1.35	  10.19	
     61	  34.04	   5.22	 -1.097	1.02793							#	   0.54	   7.20	
     62	  41.66	   0.01	  0.135	1.00365							#	   0.64	   6.00	
     63	  41.14	   1.10	  0.343	1.01057							#	   0.37	   5.40	
     64	  42.41	  -0.56	 -0.086	0.99864							#	   1.39	   6.75	
     65	  25.89	  18.21	 -0.111	1.02847							#	   2.73	   5.25	
     66	  51.40	  34.64	 -0.542	0.99512							#	   0.48	   2.70	
     67	  43.73	   1.30	  1.342	1.00578							#	   1.34	   3.15	
     68	  44.84	 -16.27	 -0.148	0.97537							#	   0.91	   4.80	
     69	  39.57	 -10.46	 -1.815	0.99950							#	   2.16	   3.00	
     70	  35.14	  -2.95	 -0.284	1.00140							#	   0.51	   8.25	
     71	  36.05	  -2.64	 -0.291	1.00117							#	   0.50	   7.20	
     72	  36	  -20	  0     1							#	  11.33	   1.05	
     73	  36	  80	  0	1							#	   7.02	   1.20	
     74	  25.05	 -85.16	 -0.110	1.00801							#	   1.04	   8.70	
     75	  31.35	  19.42	 -0.111	0.99572							#	   0.84	   7.35	
     76	  17.96	 -36.28	  1.264	0.98969							#	   0.38	   3.15	
     77	   7.33	   1.44	  0.005	0.99820							#	   0.21	  34.93	
     78	  11.92	  -6.29	 -1.166	1.00849							#	   0.49	  28.04	
     79	  19.24	  -6.91	 -0.086	1.00183							#	   0.64	  23.09	
     80	  13.82	  -0.10	 -0.130	1.00484							#	   0.24	  61.17	
     81	  14.44	  12.33	  0.277	1.00338							#	   3.36	  41.98	
     82	  17.25	   2.42	 -0.704	1.00170							#	   0.65	  19.49	
     83	  17.98	  -4.35	 -0.221	0.99747							#	   0.71	  15.14	
     84	  18.96	  -4.48	 -0.127	0.99903							#	   0.97	  17.24	
     85	  15.17	  19.20	 -0.209	0.99583							#	   2.76	  13.04	
     86	  22.33	 -19.53	 -0.157	1.00284							#	   2.19	  12.29	
     87	  19.61	  -4.80	 -0.023	0.99939							#	   1.83	  19.94	
     88	  16.61	  -4.59	 -0.145	1.00020							#	   0.84	  18.89	
     89	  22.60	  -1.12	  0.085	1.00042							#	   0.61	  18.74	
     90	  25.72	   5.01	 -0.275	0.99730							#	   0.64	  18.59	
     91	  23.28	   3.36	 -0.220	0.99627							#	   0.60	  16.94	
     92	  22.08	   6.53	  0.112	1.00181							#	   1.32	  17.39	
     93	  19.97	  12.15	 -0.102	1.00368							#	   3.63	  20.54	
     94	  26.84	   2.18	  0.026	1.00060							#	   0.42	  23.84	
     95	  26.05	   4.17	  0.021	1.00146							#	   0.74	  22.19	
     96	  29.17	  -4.54	  0.162	0.99503							#	   0.72	  23.99	
     97	  33.05	  -8.40	  0.261	1.00124							#	   1.84	  23.54	
     98	  30.82	 -11.94	  0.279	1.00325							#	   2.61	  22.49	
     99	  33.12	   0.08	 -0.138	1.00165							#	   0.67	  18.29	
    100	  26.03	  -1.99	 -0.249	1.00065							#	   0.54	  13.04	
    101	  12.72	  -0.13	  0.026	0.99990							#	   0.41	  55.32	
    102	  32.17	   2.99	 -0.065	1.00086							#	   1.87	  18.29	
    103	  31.48	   4.17	  0.081	0.99804							#	   3.49	  13.04	
    104	  30.88	   7.33	  0.015	0.99985							#	   6.60	  15.74	
    105	  26.03	   2.04	 -0.345	0.99794							#	   2.79	   8.55	
    106	  27.24	  -0.45	 -0.869	0.98892							#	   1.56	  10.04	
    107	   9.42	   0.03	 -0.035	0.99872							#	   0.27	  59.97	
    108	  21.49	   1.07	 -0.187	0.97724							#	   0.80	   9.00	
    109	   2.98	   0.39	 -0.029	0.99906							#	   0.26	  50.82	
    110	  39.21	  -2.93	 -0.279	1.00550							#	   0.30	  20.54	
    111	  32.01	  -4.23	 -0.145	1.00567							#	   0.70	  19.94	
    112	  13.36	 -13.03	  3.096	1.02044							#	   0.34	  11.24	
    113	  33.10	   0.46	  0.023	0.99800							#	   0.18	  22.94	
    114	   8.00	   0.13	  0.331	0.99886							#	   0.55	  20.99	
    115	  19.40	   0.32	 -0.027	1.00422							#	   0.51	  52.77	
    116	  31.12	   1.37	  0.018	1.00037							#	   0.64	  27.89	
    117	  29.91	   5.33	 -0.159	0.99375							#	   2.09	  18.29	
    118	   6.80	   0.58	  0.111	0.99818							#	   0.63	  46.63	
    119	  15.78	   5.68	 -0.188	1.00342							#	   1.34	  19.04	
    120	   4.17	  -8.58	  0.357	1.00024							#	   2.48	  19.49	
    121	  29.89	   6.66	  0.204	1.00058							#	   1.51	   9.45	
