      1	  -1.55	  -2.27	 -0.068	1.00039							#	   3.71	  65.22	
      2	  -2.94	  -9.74	  0.044	1.00001							#	   5.85	  68.15	
      3	  -8.31	  -4.13	  0.115	1.00016							#	   2.28	  66.85	
      4	 -14.43	  -6.02	  0.116	1.00051							#	   6.21	  64.70	
      5	 -10.84	   3.81	  0.147	1.00033							#	   2.78	  64.19	
      6	  -9.96	   2.34	  0.063	1.00035							#	   2.58	  65.44	
      7	  -9.94	   1.65	  0.094	1.00000							#	   2.26	  65.93	
      8	  -6.30	   0.81	  0.069	1.00015							#	   1.19	  68.52	
      9	  -6.11	   0.75	 -0.043	0.99997							#	   1.20	  66.04	
     10	  -3.33	   5.68	 -0.003	0.99985							#	   2.33	  68.48	
     11	  -7.75	  -3.88	 -0.036	1.00003							#	   2.60	  68.59	
     12	  -5.46	   1.08	 -0.074	0.99995							#	   1.34	  69.41	
     13	   0.68	  -1.71	 -0.069	0.99992							#	   0.47	  69.19	
     14	   3.20	   2.20	  0.019	0.99978							#	   1.01	  70.52	
     15	   0.15	   1.05	 -0.074	0.99994							#	   0.33	  71.19	
     16	   1.94	   4.49	 -0.077	1.00006							#	   1.73	  71.33	
     17	  -0.61	   5.09	 -0.080	0.99977							#	   2.14	  70.74	
     18	   0.77	   0.35	 -0.076	0.99995							#	   0.30	  72.41	
     19	  -2.68	   1.62	 -0.071	1.00012							#	   1.04	  70.96	
     20	  -3.56	   6.34	 -0.018	1.00058							#	   4.62	  68.33	
     21	   3.17	   4.90	 -0.009	0.99931							#	   1.57	  68.52	
     22	   6.72	   4.32	 -0.059	0.99969							#	   2.76	  67.00	
     23	   0.20	   6.29	  0.040	0.99982							#	   2.52	  68.89	
     24	  -3.85	   9.88	  0.066	1.00097							#	   6.40	  66.44	
     25	  -4.57	   8.85	  0.021	1.00164							#	   3.35	  65.96	
     26	   3.91	   1.43	  0.019	0.99921							#	   0.60	  69.78	
     27	   0.31	   0.32	  0.008	0.99993							#	   0.15	  72.22	
     28	  -3.43	   4.09	 -0.029	0.99858							#	   1.29	  68.56	
     29	  -1.77	   4.38	  0.004	0.99991							#	   1.08	  69.56	
     30	  -1.64	  -6.50	  0.031	1.00054							#	   2.05	  71.67	
     31	  -1.71	   4.25	 -0.008	1.00009							#	   1.43	  71.44	
     32	  -4.03	  -7.34	 -0.089	0.99950							#	   4.38	  69.81	
     33	  -2.77	  -3.19	 -0.041	1.00033							#	   0.86	  68.07	
     34	  -2.94	  -1.29	 -0.081	1.00067							#	   0.60	  67.59	
     35	  -0.88	  -7.23	 -0.039	1.00048							#	   3.10	  69.89	
